epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.418,0.86825,5.20178,0.0152,0.00349,0.98507,0.57794,0.40883,0.64489,9.92852,0.01653,0.00036,0.00036,0.00036
2,549.881,0.94818,4.74422,0.01756,0.00349,0.98507,0.55868,0.33412,0.77615,9.73936,0.02116,0.00071558,0.00071558,0.00071558
3,968.074,1.01015,4.35827,0.01943,0.94257,0.24518,0.63986,0.38384,0.95619,9.32225,0.02504,0.00104608,0.00104608,0.00104608
4,1374.48,1.11065,3.86614,0.02168,0.83122,0.20896,0.64223,0.3621,0.99574,8.84277,0.02724,0.0013515,0.0013515,0.0013515
5,1787.75,1.13942,3.38288,0.02116,0.6057,0.48152,0.544,0.29235,1.22829,8.1415,0.03523,0.00163184,0.00163184,0.00163184
6,2225.68,1.18981,3.27169,0.02314,0.70143,0.56109,0.65297,0.3348,1.36883,6.95709,0.03834,0.00167,0.00167,0.00167
7,2651.3,1.1802,2.92374,0.02261,0.71272,0.70357,0.74479,0.42813,1.26498,5.40706,0.03541,0.001604,0.001604,0.001604
8,3117.51,1.19476,2.61386,0.02243,0.62518,0.67215,0.61717,0.33446,1.2722,4.72426,0.03611,0.001538,0.001538,0.001538
9,3566.79,1.14819,2.38457,0.02124,0.64025,0.53132,0.56983,0.30279,1.38055,4.48734,0.03962,0.001472,0.001472,0.001472
10,4029.54,1.15224,2.23046,0.02221,0.76721,0.55224,0.66478,0.34235,1.37106,3.69577,0.04229,0.001406,0.001406,0.001406
11,4488.29,1.09372,2.00906,0.02039,0.76441,0.67805,0.70837,0.4422,1.16908,3.30579,0.03201,0.00134,0.00134,0.00134
12,4947.22,1.15321,1.88052,0.02158,0.67305,0.71642,0.7589,0.45214,1.30491,2.89698,0.03533,0.001274,0.001274,0.001274
13,5406.95,1.09003,1.77809,0.02096,0.65855,0.77725,0.79034,0.45729,1.35849,2.57406,0.03965,0.001208,0.001208,0.001208
14,5863.05,1.071,1.61034,0.02022,0.92142,0.70012,0.82464,0.46428,1.33513,2.36621,0.03794,0.001142,0.001142,0.001142
15,6218.19,1.1165,1.63551,0.02203,0.76204,0.70149,0.73355,0.45715,1.25772,2.36858,0.03657,0.001076,0.001076,0.001076
16,6475.7,1.04018,1.43319,0.01985,0.79299,0.71642,0.7907,0.49581,1.22656,2.17138,0.03495,0.00101,0.00101,0.00101
17,6719.64,1.09216,1.44223,0.02143,0.7124,0.8134,0.78087,0.48016,1.25194,2.01518,0.03573,0.000944,0.000944,0.000944
18,6960.38,0.98679,1.2478,0.01852,0.80867,0.76119,0.78392,0.50077,1.18193,1.91308,0.03213,0.000878,0.000878,0.000878
19,7195,1.03375,1.31588,0.01917,0.84938,0.67337,0.78797,0.4747,1.27112,1.80484,0.0342,0.000812,0.000812,0.000812
