epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.51,0.93445,4.57861,0.01746,0.82618,0.5314,0.7018,0.43948,0.97795,7.40044,0.02614,0.000658436,0.000658436,0.000658436
2,2039.12,1.12347,3.36084,0.02156,0.75497,0.65068,0.7049,0.38265,1.29817,4.54883,0.03575,0.00128137,0.00128137,0.00128137
3,3084.81,1.24713,2.49673,0.02399,0.6606,0.49068,0.52384,0.25436,1.42768,3.30407,0.04099,0.00186031,0.00186031,0.00186031
4,4087.56,1.29011,2.00579,0.02567,0.63941,0.60025,0.632,0.32603,1.55568,2.1911,0.04607,0.001802,0.001802,0.001802
5,5304.76,1.32035,1.6677,0.02612,0.60062,0.65387,0.6241,0.32094,1.48399,1.95498,0.0424,0.001736,0.001736,0.001736
